,0
10883,good game
10884,Very good game but the Russians destroy any game featuring them :)
10885,many hackerinos and game is bad a lot of russian scream at u cyka blyat and stuff. But it fun also
10886,its fun i mean there i nothing like popping heads and takign a 1v5 and winning.
10887,kzn
10888,You will need a very hard desk to play this game.
10889,
10890,sus
10891,nice
10892,this game made me hate poles and russians. 10/10 would scream my vocal cords off again
10893,shit game. Played for 2000 hours just for the game to downgrade my rank back to fucking gold nova 1 :))))))))))))))))))))))))))))))))))))))))))
10894,what the fuck?
10895,very fun!!
10896,"It ain't bad....

/spoilerEND MY SUFFERING"
10897,1
10898,h
10899,"I like it, Picasso!"
10900,I LIKE THAT GAME
10901,The second best thing to come from Russia
10902,gut gejm
10903,"very good if green has no problem
"
10904,Use to be a great game until it went free to play. Three games in a row of non stop cheating in comp. What's the point?
10905,full of cheaters :)
10906,fun :D
10907,csgo gud
10908,best game
10909,GG NB
10910,good gamm
10911,not my cup of tea
10912,nice game
10913,meh its pretty alright
10914,rancid
10915,"green , green, whats your problem?"
10916,fjgfujgjgjgjghjghjgjgjgjgj
10917,I gained gold nova II on 30 fps.
10918,i played 2 casual rounds and now i am fluent in russian
10919,[spoiler] hi [/spoiler]
10920,incredible game
10921,This game ! 🙂
10922,like
10923,spinbot + wallhack
10924,Ag seker maar oraait
10925,"The time I spent playing this game could've been spent...
...studying
...applying for jobs
...making friends irl
...getting a gf
...spending time with my family
...working out
...becoming a better man in general

From the time I spent in this game, I got...
...an extremely racist and homophobic vocabulary
...free Russian lessons
...anger management issues
...borderline autistic tendencies
...sleep deprivation
...gambling addiction

10/10 would never uninstall this game and correct my life

Community servers are better than match-making :)"
10926,
10927,pretty shit
10928,Good game
10929,Hearing kids raging for no reason Simulator
10930,negev go brrrr
10931,good game
10932,Shooting
10933,"how to get profit in cases:

Step 1: waste 300 dollars on cases

Step 2 : get 1 15$ skin and be hopeful

Step 3: have a gambling addiction

Step 4: rinse and repeat

ps: its a scam

so that being said, 10/10"
10934,.
10935,Its grate for high iq gamers
10936,"The review is not important, look at this instead!
⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄
⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄
⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄
⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄
⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄
⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄
⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄
⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄⠄⠄⠄⢹⣿⣿⣿⣿⣿⣿⣿⣿⠁⠄
⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠏⠄⠄⠄⠄⠄⠸⣿⣿⣿⣿⣿⡿⢟⣣⣀"
10937,"I have 0 life + 0 braincells, thank you cs"
10938,I wouldn't recommend this game to others simply because of the anti-cheat system which does absolutely nothing and when you report people for cheating nothing happens to them and they go on about their day and ruin the fun for other people
10939,"Not that cool like original (1.6) but still top. Some new elements (molotov, decoy, wingman-mode, competitive etc.) are very nice."
10940,ADASD
10941,its good
10942,idiot russians
10943,:)
10944,Fix the ranks please I am playing with silvers in MG lobby
10945,good game
10946,"CSGO, don't worry
You are my only
You won′t be lonely
Even if the sky is falling down
You'll be my only
No need to worry

Baby, are you down, down, down, down, down?
Down, down
Baby, are you down, down, down, down, down?
Down, down
You down

Even if the sky is falling down?
Down like it posed to be
It gets down low for me
Down like its temperature

′Cause to me she zero degrees
It cold, over freeze
I got that game from overseas
Now it´s my Miss America

Now can I be her soldier, please?
I′m fightin' for this girl
On the battlefield of love
Don't it look like baby cupid
Sent her arrows from above?
Don′t you ever leave the side of me
Indefinitely, not probably!"
10947,nice game
10948,dadadaadadada
10949,fun as shit with friends
10950,"way too many hackers, go play valorant instead"
10951,love the way to kill
10952,best game ever
10953,o
10954,"This game made me hate Russians!
I love it! <3"
10955,very good very nice
10956,"Great Game, much good <3"
10957,useless teammates
10958,"Love this game. It feels good, but there are a lot of plugins.
 I hope the official will intensify the external crackdown,
 thank you."
10959,"Отличная игра. Лучший пример поддержки всех меншинств в наше время, даже нетфликс не сравнится."
10960,"good game
"
10961,this game is for cheaters xddddd all farhad user.......
10962,yes
10963,Mango On A Fork
10964,nu
10965,drfgdfgdfgadsrgfsdfgsertgdfgrdegfdg
10966,its good
10967,uwu
10968,pro gamer
10969,the best fpv game i have ever played but apex legends is daddy
10970,Not problem with the game itself but this shitty steam...better will use Epic ;)
10971,"good game, thanks valve"
10972,great game
10973,its fun ig
10974,fuck this bs
10975,I love having russians scream in my ears every time i play
10976,you know much more about your family and you will learn russian
10977,good game
10978,Nice game
10979,TOP COMMUNITY
10980,imagine paying for colorful knife
10981,GGG
10982,"cheaters everywhere, please Valve, do something"
10983,"It's Better than most games so thats all ya need.
"
10984,Played the game since childhood
10985,There are many hackers
10986,yes
10987,cheaters
10988,"Good game, you can catch some pokemons in here"
10989,Very good game. Rush B!
10990,sdxgfdhgjhbkjnlkm
10991,Best free to play game on steam fs
10992,one of the best multiplayer games so far :) my favorite
10993,Fun game but you should probably have VC off. The CS GO community is very vocal about their opinions on race. Also the surf maps are fun.
10994,strat roulette
10995,"ybg
"
10996,very nice
10997,"one of the best fps
Once a legend said this ""cs khelo god banjao"" (translation: play csgo and become god)"
10998,good
10999,too many hackers
11000,"salz
"
11001,KILL ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
11002,best
11003,good n fun
11004,good (:
11005,fun
11006,a
11007,No.
11008,Great Game
11009,Fun game most of the time
11010,"I just about done with this game..
You should be able to add preferences to your profile. I don't want to play terrorist... It would benefit their servers also because I quit when I can't take Police as many others do. I prefer just a couple of maps.. let me choose those also.

And here: snipers should realy aim to get a kill.. not approx!!
"
11011,paldies
11012,.
11013,I'm still silver 2
11014,eh
11015,Very good game a lot of russians
11016,good game
11017,I
11018,"oddaje ale ruscy :/
"
11019,I will never play this game again
11020,test
11021,yes i diiid
11022,"huf huf
"
11023,eh
11024,like games
11025,Ahhh negev users can rot in hell
11026,Nc
11027,this will kill your social life
11028,SAD
11029,best game
11030,geigh
11031,<3
11032,cool guns
11033,very addicted game. CAREFUL
11034,Never start. Just dont.
11035,I want to like this game but I suck at it
11036,gamign
11037,yes
11038,"When the swag this incredible, then racks are inevitable."
11039,"When the swag this incredible
Then racks are inevitable
"
11040,bad game
11041,Best Game ever!!!!!!
11042,All time fav game.
11043,cant open the agme shit game ferris ferris focus game
11044,FUCK RUSSIAN SURFURS F SUCK
11045,me danr isa los brazucas insultando y girando
11046,gud
11047,fuck VAC
11048,good
11049,","
11050,Best Game
11051,Shoot self don't play gaem :)
11052,This is an amazing game for anyone who likes FPS games and wants to build a solid aim and reflexes.
11053,Geting kickt and get a 7 days coldown shit game
11054,This is easily one of the best games ever made.
11055,VEry good game:)))
11056,"best fps
"
11057,:)
11058,.
11059,merci babat game i ke inahme cheater dare vali ma bazam mirim feshar mikhorim
11060,Yes pls
11061,You think Valorant is too ez for you? try this
11062,good
11063,is ok
11064,good game but meny toxic players and very competitive
11065,.
11066,Good game!
11067,huinea
11068,fddfddfdfdffddf
11069,you know we play dat counta strike
11070,sex
11071,Game
11072,addicted :)
11073,"nice
"
11074,fucking van thing showing every time
11075,"i like the game it is very fun and inttresant cuze i love to play with my freinds 
"
11076,nice game
11077,very good game but have many cheaters and toxics
11078,"I want to touch the grass, please give me help !"
11079,yes
11080,No1 of all time
11081,veri veri nise
11082,Love this game
11083,n1
11084,good
11085,I LOVE THIS GAME ESPECIALLY RUSSIAN MATES <3
11086,Very good game
11087,mm
11088,"fye
"
11089,Really good game. Totally recommend it
11090,gg
11091,"chicken

cool"
11092,Best game in the world. I accept free cases
11093,g
11094,the industrial revolution and it's consequences
11095,GOOD
11096,i have depresion
11097,very nice
11098,"very good but annoying game when you loose
"
11099,asrsdfsaffsdfsdfdfsd
11100,i dont like this game a lot of hackers
11101,"This game will ruin your life and your wallet

V nice do recommend"
11102,Good game with a lot of funny things
11103,"Cool
"
11104,Good game
11105,boiot buutt
11106,puukotettiin selkään
11107,"valorant better
"
11108,.
11109,very gud game
11110,This game is better than Valorant 10/10
11111,good game
11112,Verry nice
11113,aer4eb t4
11114,noic3e4
11115,osam
11116,"e ft
"
11117,Fun
11118,Russians and Racism
11119,Russians Screaming At Russians 10/10
11120,"Bad Game, its ugly, full of people who use cheats and who are toxic. Somehow got banned for no reason.
idk 
"
11121,"sus game btw 

butt in that game there are cocks
"
11122,Sexy game.
11123,Good Game <3
11124,good game :)
11125,good pew game
11126,broke table in half after i lost my rank cuz of hackers in prime match
11127,dshoot
11128,"this game is cool, gunplay and stuff. like valorant lmao"
11129,shit game
11130,big bad
11131,uwu
11132,kurwa
11133,"Bitch i aint speading 35 bucks to play a free game ""without"" cheaters"
11134,1000 hours of sadness :steamhappy:
11135,")
"
11136,i just play bcs of the russians <3
11137,it good
11138,0/10
11139,Best FPS game
11140,like it
11141,very good game
11142,epic game
11143,such a good game
11144,"very fun game, but you run into a lot of cheaters."
11145,very friendly Russian community
11146,valarante child game.... look to cartoon grapfix to make kid player happy like children show.. valarante cartoon world with rainbow unlike counter strik with dark corridorr and raelistic gun.. valarante like playhouse. valarant playor run from csgo fear of dark world and realism
11147,This game will increase your tolerance to toxicity.
11148,Good Game. But to many Cheaters. Where is Anti-Cheat Valve?
11149,dadsad
11150,glupa igra ama ja igraam
11151,common w
11152,"play or gay
"
11153,Worst game i play 🥲
11154,noice
11155,"very nice!
"
11156,CSGO 4 LIFE
11157,super good game
11158,gg
11159,.
11160,No other games can feed my crippling gambling addiction quite like this one. 10/10
11161,GG
11162,qwe
11163,"pray to God so u can win
"
11164,I HAVE PLAY THIS SEENS I WAS 9 YEARS OLD
11165,good game
11166,fun game
11167,outdated arcade fps
11168,Kokotina vyjebana cely cas ma dava do hvh lobbies dufam ze skape kazdy kto ju robil do pici.
11169,ez game
11170,Top
11171,vey fun
11172,good soup
11173,bad game got kicked all the time from my own team in ranking and i do nothing i just want to rank up but i cant all the fucking time my team kicking me from the match this game is bad af valorant much better never again i will play this fucking bad idiot game
11174,Dont play this piece of fucking shit full of weebs russians and cheaters and its been 10 years since it came out and still no working anticheat... conclusion dogshit game
11175,yes
11176,stockholm syndrome.
11177,God do i love CS:GO but i just can't give it a positive review until they both add more content consistently and fix the issue with blatant cheaters. It's one thing to join a casual or deathmatch and find them but it's another to have 2/5 of your ranked games being completely ruined by someone with obvious walls or aim. Valve.... please fix.
11178,"dobra giera ale dużo haxów 
"
11179,fun and good game
11180,h
11181,Piece of Art.
11182,"source engine funky
"
11183,"great,you should have a strong internet!"
11184,"Good game, yes."
11185,very wtf game
11186,good
11187,Good
11188,An all time esports classic that still holds up. You’ll find toxic people AND lovely people and everyone in between.
11189,b
11190,yes ok
11191,is the amainzing
11192,this game is cool i guess
11193,Cs go will never die
11194,pider game
11195,"cool game, but guys please never cheat in this game"
11196,imi plake
11197,Cel mai tare joc!
11198,australia has shit internet
11199,"Speechless for this game, but this game is good"
11200,lekker
11201,"I wanted to open only 1 crate, ended up opening hundreds. I need help"
11202,"I bought prime, went online, played for a week and learned Russian"
11203,"The amount of hours I've spent on this game still scares me. Its great, if you want to spend countless hours trying to become better"
11204,i like it
11205,lolololol
11206,its fun but wish there wasnt double zoom on snipers
11207,.
11208,yes
11209,"goog game
"
11210,this game is fun to play
11211,"lots of cheaters and I have just bought prime and im already in fucking red trust factor, i dont even cheat"
11212,Good game if you like Russian 👍🏻
11213,Game is very great lovely graphics on 60fps
11214,"cs go is a really good game, not my main game for playing but its great if you are going to play competitively."
11215,awoopa
11216,It's fun
11217,Love that instead of making a better anti-cheat they made the game cost $15 again very nice :))))
11218,"+rep
"
11219,It's a alright game I guess.
11220,This isn't a free game cost a piece of my sainty until i left with nothing but regret.
11221,nice
11222,YES!
11223,boom boom
11224,Gud game
11225,this game is very fun better than valorant
11226,WWWWWWWWWW
11227,"sweat fest
"
11228,"For me it is the best FPS game out here on steam, the only thing that is ruining the game are the cheaters but I hope someday they will update the VAC to minimize the cheaters but overall it is a fun and enjoyable fps game to play, 100% recommended."
11229,sad
11230,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⣤⠴⠒⠒⠛⠛⠓⠚⣻⣿⣗⣦⣤⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡠⠊⣩⣴⣶⣶⣶⣶⣶⣶⣶⣿⣿⣿⣷⣌⡙⠢⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⠞⣰⣾⣿⠟⠉⠉⠉⠉⠙⠟⣿⣿⣿⣿⣿⣿⡟⢦⠹⣦⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⢋⣴⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠈⠋⢿⣿⣿⣿⡃⠀⡀⠙⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣸⢏⣼⣿⣿⡏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣿⣿⣧⠀⢻⣆⣇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢰⡏⣼⣿⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⣄⠀⣶⠈⢻⣿⡄⠸⡟⢻⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⣿⣿⠙⠇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢿⣿⡆⢸⣿⡇⠀⡁⠈⡟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⣿⣿⣿⣿⠀⠀⣀⡀⠀⠀⠀⠀⠃⠀⠀⠀⠘⠙⢃⣾⣿⠃⠀⡇⠀⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣟⣿⣿⡇⢠⡾⢻⡿⠿⢷⣦⣤⠁⣷⣄⣤⣾⠿⠿⢿⣿⣄⠀⣯⣀⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣿⣿⣿⠃⠈⠡⠾⣿⣿⣿⡿⠁⠀⣼⣿⣿⡿⠛⢶⣿⣿⣿⠀⠹⢿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⣿⣿⡇⠀⠀⠀⠀⠈⡹⠏⠀⠀⢻⣿⣿⣷⠀⠀⠙⠻⣿⡇⣠⡼⣟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢻⣿⣿⣿⣿⠀⠀⠀⠀⠈⠀⠀⠀⠀⣸⣿⣿⣿⣧⠀⠀⠀⣿⠀⢿⡻⢿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⣿⣿⣿⠀⠀⣼⣿⠀⠀⣿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢻⡿⡄⠀⠀⠀⠀⠀⠀⠉⢳⣶⣿⣿⣿⣯⡀⢸⣧⣼⡀⠀⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣿⢀⠀⠀⠀⡀⠀⠀⠀⢸⡅⢘⣟⣽⣿⣿⣿⣿⣿⠤⣼⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢻⣮⡀⡀⠀⠙⠛⠛⠛⠛⠿⠻⣿⣿⣿⣿⣻⣧⡿⢿⡏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣿⣷⠀⠀⠀⠀⠀⠐⠛⠃⠀⠛⣿⣿⣿⣿⣿⣷⣿⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣬⣿⣿⣷⣴⣦⠀⠀⠀⠀⣀⡀⣴⣿⣿⣿⣿⣿⣿⢸⣟⢢⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⢀⣠⣤⣴⣶⣶⣿⣿⣿⣿⣿⣿⠻⣿⡷⢷⣦⠴⡾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣸⣿⠀⢲⣾⡿⠦⣀⣀⠀⠀⠀⠀⠀⠀⠀⠀
⢀⣠⣴⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⠈⠛⢦⣀⠀⠐⠛⠿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣼⣿⣿⣷⣶⣾⣯⣄⠀⠀⠀⠀⠀⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡀⠀⠀⠀⠉⠳⣦⣀⣀⣾⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⣤⡀⠀⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡀⠀⠀⠀⠀⣨⡿⢟⣵⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠀⠀⢀⣼⣿⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣇⣴⣿⣿⢿⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿"
11231,"no
"
11232,this game is good (:
11233,i mean what can i say ? you love it or you hate it
11234,Good game
11235,Nice felling after loosing 5 games in row)
11236,wtf is going on with this matchmaking dude fuckkk
11237,PING
11238,#2
11239,noice
11240,Crashes a few times but love the game!
11241,"alright a lot of cheaters though
"
11242,amaizing
11243,good
11244,pls add sex
11245,not put sth down
11246,poopy doondies
11247,very fun
11248,its an amazing game so many guns
11249,"yes game gud
"
11250,10/10 I am racist and sexist now
11251,"great game
"
11252,gun go brr
11253,the game is bussin bussin on god im telling you he is that guy respect for the guy
11254,!!!!!!!!!!
11255,Come on it's CSGO.
11256,very fun game
11257,It was fun
11258,"Great Game, must play, must have."
11259,"game mean
"
11260,good game for cheat
11261,Is best game
11262,Much more better than that rito game mimic
11263,I play this game too much
11264,"Game is meh, look at this instead.
⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄
⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄
⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄
⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄
⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄
⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄
⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄"
11265,good game
11266,yh
11267,very nais
11268,good game
11269,This game is amazing and a bit addictive love it since the first time I played.
11270,"good, on another account i have over 50 hours which isnt much, but yes, good game"
11271,"halloween music intro in the summer 🤔
Also the weird old guy who greets you is creepy and i hope he dies soon,🤔
otherwise, one of the best games ive played ♥"
11272,"No Doubt one of the Best Multiplayer First Person Shooting of all time. Those who already played this game nothing to tell to them, If you have not tried this game must try give some time in it, have some friends here, you will regret why you had not played it earlier."
11273,"⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠿⠿⠿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⠟⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢺⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠆⠜⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠿⠛⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿
⣿⣿⡏⠁⠀⠀⠀⠀⠀⣀⣠⣤⣤⣶⣶⣶⣶⣶⣦⣤⡄⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿
⣿⣿⣷⣄⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⡧⠇⢀⣤⣶⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣾⣮⣭⣿⡻⣽⣒⠀⣤⣜⣭⠐⢐⣒⠢⢰⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣏⣿⣿⣿⣿⣿⣿⡟⣾⣿⠂⢈⢿⣷⣞⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣽⣿⣿⣷⣶⣾⡿⠿⣿⠗⠈⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠻⠋⠉⠑⠀⠀⢘⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⡿⠟⢹⣿⣿⡇⢀⣶⣶⠴⠶⠀⠀⢽⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⡿⠀⠀⢸⣿⣿⠀⠀⠣⠀⠀⠀⠀⠀⡟⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⡿⠟⠋⠀⠀⠀⠀⠹⣿⣧⣀⠀⠀⠀⠀⡀⣴⠁⢘⡙⢿⣿⣿⣿⣿⣿⣿⣿⣿
⠉⠉⠁⠀⠀⠀⠀⠀⠀⠀⠀⠈⠙⢿⠗⠂⠄⠀⣴⡟⠀⠀⡃⠀⠉⠉⠟⡿⣿⣿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢷⠾⠛⠂⢹⠀⠀⠀⢡⠀⠀⠀⠀⠀⠙⠛⠿⢿"
11274,Its super fun but I suck
11275,"In my opinion, one of the FPS games where you can always learn new features of the game mechanics even at high levels, with the possibility of improving with time. It's not an easy and relaxing shooter, as it requires perseverance, dedication and will to learn. Competitive mode worth to try after reaching level 2 in other modes such as Deathmatch or Arms Race. Best if played with a group of friends."
11276,"I can have fun, and shoot people."
11277,すごいゲム❣
11278,The people who are dead and spectating you trash talk you when you die the same way they did.
11279,gud game
11280,shit game perma red trust shitty system remove it bad
11281,crazy
11282,is very nice
11283,Most tactic game
11284,bala
11285,*plays song for bhop and sliding*
11286,"word
"
11287,This game is pretty shit. Don't download. Its a waste of space.
11288,csgo
11289,nice game
11290,nice
11291,good
11292,e
11293,yes
